Date,Open,High,Low,Close,Volume,Max Drawdown,Porfolio Return,Profit,Gross Profit,Average Trade Win,Gross Loss,Average Trade Loss,,,,
16-04-2018,8337.570313,8371.150391,7925.72998,8058.669922,5631309824,5.320898445,-0.032469306,-278.900391,0,,-278.900391,,,445.420411,,
17-04-2018,8071.660156,8285.959961,7881.720215,7902.089844,6900879872,4.878610902,-0.019430015,-169.570312,0,,-169.570312,,,404.239746,,
18-04-2018,7944.430176,8197.799805,7886.009766,8163.419922,6529909760,3.803338047,0.033071008,218.989746,218.989746,,0,,,311.790039,,
19-04-2018,8159.27002,8298.69043,8138.779785,8294.30957,7063209984,1.926938309,0.016033678,135.03955,135.03955,,0,,,159.910645,,
20-04-2018,8286.879883,8880.230469,8244.540039,8845.830078,8438110208,7.158490224,0.066493842,558.950195,558.950195,,0,,,635.69043,,
21-04-2018,8848.790039,8997.570313,8652.150391,8895.580078,7548550144,3.839035539,0.005624119,46.790039,46.790039,,0,,,345.419922,,
22-04-2018,8925.05957,9001.639648,8779.610352,8802.459961,6629899776,2.466542815,-0.010468133,-122.599609,0,,-122.599609,,,222.029296,,
23-04-2018,8794.389648,8958.549805,8788.80957,8930.879883,6925190144,1.894728932,0.014589095,136.490235,136.490235,,0,,,169.740235,,
24-04-2018,8934.339844,9732.610352,8927.830078,9697.5,10678800384,8.268904691,0.08583926,763.160156,763.160156,,0,,,804.780274,,
25-04-2018,9701.030273,9745.320313,8799.839844,8845.740234,11083100160,9.701892176,-0.087832923,-855.290039,0,,-855.290039,,,945.480469,,
26-04-2018,8867.320313,9281.509766,8727.089844,9281.509766,8970559488,5.973380797,0.049263207,414.189453,414.189453,,0,,,554.419922,,
27-04-2018,9290.629883,9375.469727,8987.049805,8987.049805,7566289920,4.142938256,-0.031725438,-303.580078,0,,-303.580078,,,388.419922,,
28-04-2018,8939.269531,9412.089844,8931.990234,9348.480469,7805479936,5.100882142,0.040216831,409.210938,409.210938,,0,,,480.09961,,
29-04-2018,9346.410156,9531.490234,9193.709961,9419.080078,8853000192,3.543834854,0.007551988,72.669922,72.669922,,0,,,337.780273,,
30-04-2018,9426.110352,9477.139648,9166.80957,9240.549805,8673920000,3.274512031,-0.018954109,-185.560547,0,,-185.560547,,,310.330078,,
01-05-2018,9251.469727,9255.879883,8891.049805,9119.009766,7713019904,3.94160342,-0.013152901,-132.459961,0,,-132.459961,,,364.830078,,
02-05-2018,9104.599609,9256.519531,9015.139648,9235.919922,7558159872,2.607674323,0.012820488,131.320313,131.320313,,0,,,241.379883,,
03-05-2018,9233.969727,9798.330078,9188.150391,9743.860352,10207299584,6.227384484,0.054996193,509.890625,509.890625,,0,,,610.179687,,
04-05-2018,9695.5,9779.200195,9585.959961,9700.759766,8217829888,1.976033113,-0.004423358,5.259766,5.259766,,0,,,193.240234,,
05-05-2018,9700.280273,9964.5,9695.120117,9858.150391,7651939840,2.703395885,0.016224567,157.870118,157.870118,,0,,,269.379883,,
06-05-2018,9845.30957,9940.139648,9465.25,9654.799805,7222280192,4.777494732,-0.020627661,-190.509765,0,,-190.509765,,,474.889648,,
07-05-2018,9645.669922,9665.849609,9231.530273,9373.009766,7394019840,4.49333844,-0.029186523,-272.660156,0,,-272.660156,,,434.319336,,
08-05-2018,9380.870117,9462.75,9127.769531,9234.820313,7415869952,3.53999069,-0.014743338,-146.049804,0,,-146.049804,,,334.980469,,
09-05-2018,9223.730469,9374.759766,9031.620117,9325.179688,7226890240,3.66025005,0.009784638,101.449219,101.449219,,0,,,343.139649,,
10-05-2018,9325.959961,9396.040039,9040.519531,9043.94043,6906699776,3.783727044,-0.030159125,-282.019531,0,,-282.019531,,,355.520508,,
11-05-2018,9052.959961,9052.959961,8394.459961,8441.490234,8488520192,7.273864049,-0.066613685,-611.469727,0,,-611.469727,,,658.5,,
12-05-2018,8441.44043,8664.860352,8223.5,8504.889648,6821380096,5.093681076,0.007510453,63.449218,63.449218,,0,,,441.360352,,
13-05-2018,8515.490234,8773.549805,8395.120117,8723.94043,5866379776,4.313301872,0.025755864,208.450196,208.450196,,0,,,378.429688,,
14-05-2018,8713.099609,8881.120117,8367.969727,8716.790039,7364149760,5.777991776,-0.000819629,3.69043,3.69043,,0,,,513.15039,,
15-05-2018,8705.19043,8836.19043,8456.450195,8510.379883,6705710080,4.297556034,-0.023679606,-194.810547,0,,-194.810547,,,379.740235,,
16-05-2018,8504.410156,8508.429688,8175.490234,8368.830078,6760220160,3.913054068,-0.016632607,-135.580078,0,,-135.580078,,,332.939454,,
17-05-2018,8370.049805,8445.540039,8054.120117,8094.319824,5862530048,4.634634614,-0.032801509,-275.729981,0,,-275.729981,,,391.419922,,
18-05-2018,8091.830078,8274.120117,7974.819824,8250.969727,5764190208,3.617306599,0.019353066,159.139649,159.139649,,0,,,299.300293,,
19-05-2018,8255.730469,8372.05957,8183.350098,8247.179688,4712399872,2.254038811,-0.000459345,-8.550781,0,,-8.550781,,,188.709472,,
20-05-2018,8246.990234,8562.410156,8205.240234,8513.25,5191059968,4.171371325,0.032261976,266.259766,266.259766,,0,,,357.169922,,
21-05-2018,8522.330078,8557.519531,8365.120117,8418.990234,5154990080,2.248308208,-0.011072125,-103.339844,0,,-103.339844,,,192.399414,,
22-05-2018,8419.870117,8423.25,8004.580078,8041.779785,5137010176,4.970408358,-0.044804714,-378.090332,0,,-378.090332,,,418.669922,,
23-05-2018,8037.080078,8054.660156,7507.879883,7557.819824,6491120128,6.78837173,-0.060180703,-479.260254,0,,-479.260254,,,546.780273,,
24-05-2018,7561.120117,7738.600098,7331.140137,7587.339844,6049220096,5.265292893,0.003905891,26.219727,26.219727,,0,,,407.459961,,
